main_cate_name,sub_cate_name,ranking,title,ori_price,dis_price,discount_percent
유아동/출산,ALL,4,[비앤비]닥터아토 로션/비앤비 세제/유키두 물놀이/육아템+30%,59600,17900,69
스포츠/자동차,ALL,9,[아디다스] 아디다스 단하루  인기 의류/운동화 46종 파격세일,29200,26580,8
스포츠/자동차,ALL,10,[네파](신세계마산점)네파 - 19F/W 남녀 스테이트 패딩 베스트 - 7F514017F61401,30000,24000,20
스포츠/자동차,ALL,11,[블랙야크]한겨울 남녀공용 구스 롱다운자켓 롱다운3종_BON,125000,95000,24
ALL,ALL,19,[또래친구]주니어 맨투맨/상하복/원피스/특가모음,13000,3900,70
ALL,ALL,20,천연소가죽 단화 플랫슈즈 슬립온 편한신발,42600,12800,69
ALL,ALL,21,퓨어랜드 퓨어수 미네랄워터 천연암반수 500ml X 20PET,10000,3900,61
ALL,ALL,22,[휠라]휠라바리케이드엑스티 97 로우 1BM00838013,39000,39000,0
여행,국내여행,1,(카드18%할인) 휘닉스평창 스키 시즌권,510000,220000,56
도서/음반,ALL,1,9월9일(수)부터 순차배송/ 키즈 원리셈/ 원리셈 세트/TOP사고력 세트/ 단행본 세트,39000,29840,23
스포츠/자동차,자동차용품,1,[소낙스]LITTLE TREES 리틀트리 종이방향제 24종 10개묶음,17800,8900,50
스포츠/자동차,등산/아웃도어,1,[아이더]9월 추석템 미리 혜택받자 가을 의류용품 특가 모음전,100000,30900,69
스포츠/자동차,구기/라켓,5,[휠라]휠라 배드민턴라켓 패밀리 세트라켓 아빠랑 엄마랑,49000,24900,49
스포츠/자동차,구기/라켓,6,[리복]리복 본사리복 로얄 컴플리트 스포츠 /FW5763,35360,35360,0
스포츠/자동차,구기/라켓,7,[윌슨]브랜드 배드민턴라켓 2자루 + 깃털 셔틀콕 12입,29800,29800,0
스포츠/자동차,캠핑/낚시,1,[네이처하이크]Naturehike 야전침대 캠핑용 초경량 접이식 침대 블랙,98000,98000,0
식품,ALL,1,생생스토리 제주 노지 감귤  첫출하 5kg내외(랜덤과),23800,11900,50
스포츠/자동차,골프,6,바람막이 외 골프웨어 3900원~,7800,7800,0
스포츠/자동차,골프,7,토탈브랜드(50알)(80알) 무료배송/당일발송/로스트볼,24000,23000,4
스포츠/자동차,골프,8,팜스프링스 카라티셔츠 외 팬츠/셔츠/상하복,26000,7900,69
스포츠/자동차,휘트니스/수영,6,[베스트웨이]베스트웨이 아기욕조/가족풀장/대형물놀이/수영장+20%,98600,29600,69
스포츠/자동차,휘트니스/수영,7,[멜킨스포츠]멜킨스포츠 실내자전거 스핀바이크 클럽형 mk-2001,239000,209000,12
스포츠/자동차,휘트니스/수영,8,킹코어 3종 코어운동 복근운동 뱃살제거 아이큐샵,39800,39800,0
스포츠/자동차,휘트니스/수영,9,[헤드]펜턴급 헤드바이크 접이식 실내자전거 헬스자전거,400000,200000,50
스포츠/자동차,스포츠의류/운동화,6,[휠라]크리에이터 바이 트리게이트 1RM01144001,39000,39000,0
스포츠/자동차,스포츠의류/운동화,7,[휠라]휠라바리케이드엑스티 97 테이피테잎 1BM00839013,39000,39000,0
스포츠/자동차,스포츠의류/운동화,8,[휠라]휠라바리케이드엑스티 97 로우 1BM00838100,39000,39000,0
여행,ALL,5,(카드15%할인)20/21 웰리힐리파크 스키 시즌권 싱글권(선착순 할인),510000,180000,64
여행,ALL,6,(공식판매처) 에버랜드 얼리버드 초특가 소인 종일권(~10/31),44000,20000,54
여행,ALL,7,(공식판매처) 에버랜드 얼리버드 종일이용권(방문일 지정)(~10/31),56000,30000,46
스포츠/자동차,자전거/보드/기타레저,6,[샤오미](빠른직구)샤오미 미지아 휴대용 타이어 공기주입기,34900,34900,0
스포츠/자동차,자전거/보드/기타레저,7,마이크로킥보드_미니 핸드 디럭스 LED 퍼플,154000,138600,10
스포츠/자동차,자전거/보드/기타레저,8,[에이유테크]AU테크 안전배송_AU테크 스카닉 M20 36V 전기자전거,1663300,499000,69
스포츠/자동차,자전거/보드/기타레저,9,마이크로킥보드_미니 투고 디럭스 LED+푸쉬바 세트,243000,218700,10
패션의류,ALL,15,티탁 쓸어담는날/롱티셔츠/원피스/세트/가을/빅사이즈,19600,5900,69
패션의류,ALL,16,[이지바이]가을오픈특가 등산티/추리닝/바지/바람막이,19600,5900,69
패션의류,ALL,17,[온앤온]온앤온 2020 신상 F/W + 간절기 베스트아이템 100종,763000,229000,69
패션의류,브랜드 여성의류,5,[알트베니]알트베니여성 빅사이즈 원피스/티셔츠/블라우스/셔츠,33000,9900,70
패션의류,브랜드 여성의류,6,[SOUP]SOUP外 가을 코디룩 아우터 2만원~ 블라우스/스커트,103000,30900,70
패션의류,브랜드 여성의류,7,[쉬즈미스]쉬즈미스X리스트 가을데일리룩 오늘만 최대 30%혜택,196000,59000,69
유아동/출산,ALL,5,쁘띠뮤/12%중복쿠폰+가을상하복 원피스7900원,26300,7900,69
유아동/출산,ALL,6,[팬콧키즈]30%중복 1+1 긴팔티 상하복 바지 의류 트레이닝복,66200,19900,69
유아동/출산,ALL,7,[Organicmam]오가닉맘 가을신상/이월상품 BEST 택1,61000,18300,70
스포츠/자동차,ALL,12,[휠라]클래식보더 OG 1XM01011920,39000,39000,0
스포츠/자동차,ALL,13,[레노마골프]가을 BEST ITEM 데일리/스포츠 웨어 FW OPEN,72500,29000,60
스포츠/자동차,ALL,14,TOBE 프리미엄 스마트 2중 안전장치 철봉,49000,14900,69
스포츠/자동차,ALL,15,[머렐][머렐] 키즈 컬러블럭 중량다운자켓 5219KD405 406 407,59000,41300,30
ALL,ALL,23,퓨어랜드 퓨어수 안전한생수 미네랄워터 2L X 12PET,12000,6300,47
ALL,ALL,24,바를정육 벌집 삼겹살 300g+300g+300g (3팩),17300,14700,15
ALL,ALL,25,[밀레]밀레 간절기 트레이닝 세트 外 의류 특가모음,60000,19000,68
ALL,ALL,26,[디키즈]30%추가쿠폰 디키즈 20FW 그랜드세일+여름 클리어런스,53000,15900,70
ALL,ALL,27,[잘풀리는집]순수PURE 천연펄프 25m30롤 x3팩/휴지/화장지,31900,26900,15
패션의류,언더웨어,1,여성팬티 5매/노라인/위생/엉뽕/찐 특가,6900,6900,0
패션의류,남성의류,1,[지오다노]지오다노 롱패딩/자켓外 패션세일 단독 프리오픈,150000,45000,70
여행,국내여행,2,(카드18%할인+5천원추가할인)비발디파크 시즌권 특가 판매,460000,315000,31
여행,국내여행,3,(카드18%할인) 비발디파크 시즌권 특가 판매,460000,320000,30
여행,국내여행,4,(카드15%할인)20/21 웰리힐리파크 스키 클럽시즌권 (락카포함),510000,260000,49
여행,국내여행,5,(카드15%할인)20/21 웰리힐리파크 스키 시즌권 싱글권(선착순 할인),510000,180000,64
