maincategory_name,subcategory_name,ranking,title,ori_price,dis_price,discount_percent
도서/음반,경제/경영/개발,53,아비투스,16200,16200,0
도서/음반,경제/경영/개발,54,삼박자 투자법 [이레미디어] [이정윤],16650,16650,0
도서/음반,경제/경영/개발,55,빅체인지  코로나19 이후 미래 시나리오  최윤식,15120,15120,0
도서/음반,경제/경영/개발,56,주식 공부 5일 완성,16200,16200,0
도서/음반,경제/경영/개발,57,엄마  주식 사주세요 [리커버 에디션] [한국경제신문] [존리] 존리의 미래를 위한 투자 원칙,13500,13500,0
도서/음반,경제/경영/개발,58,현대 생산. 운영관리  제6판,33950,33950,0
도서/음반,경제/경영/개발,59,스노우폭스북스 부의재편 돈의 속성 김승호 책 김승호의 100번 노트 부의 대이동,11700,11700,0
도서/음반,경제/경영/개발,60,내러티브 앤 넘버스 : 숫자에 가치를 더하는 이야기의 힘  애스워드 다모다란,16200,16200,0
도서/음반,경제/경영/개발,61,코로나 투자 전쟁 [페이지2] [정채진  박석중  이광수 외] 전 세계 금융 역사 이래 최대의 유동성 ,15120,15120,0
도서/음반,경제/경영/개발,62,열정이넘쳐의 돈되는 재건축 재개발 1 + 2,32400,32400,0
도서/음반,경제/경영/개발,63,개념을 알면 쉬운 재무회계,33950,33950,0
도서/음반,경제/경영/개발,64,New ISA 회계감사 [제4판] [신영사] [이효익  김한수  이종은],35520,35520,0
e쿠폰/티켓,상품권,1,[컬쳐랜드문화상품권]핀번호/카드/컬쳐랜드상품권/도서문화/해피머니5만원,46870,46870,0
도서/음반,인문/사회/과학/IT,68,팩트풀니스 [김영사] [한스 로슬링  올라 로슬링  안나 로슬링  뢴룬드] 우리가 세상을 오해하는 10가지 이유와 세상이 생각보다 괜찮은 이유,17820,17820,0
도서/음반,인문/사회/과학/IT,69,김락희의 인체 드로잉,31500,31500,0
도서/음반,인문/사회/과학/IT,70,지적 대화를 위한 넓고 얕은 지식 제로 : 지혜를 찾아 138억 년을 달리는 시간 여행서  채사장,17820,17820,0
도서/음반,인문/사회/과학/IT,71,화일 구조  이석호,25000,25000,0
도서/음반,인문/사회/과학/IT,72,만다라 그리기: 아동편 세트(전10권),31500,31500,0
도서/음반,인문/사회/과학/IT,73,내일은 미스터트롯 화보집: 임영웅,40500,40500,0
도서/음반,인문/사회/과학/IT,74,아가페 21C 반주용 새찬송가 악보 (특대) 투톤브라운 106502,33300,33300,0
도서/음반,인문/사회/과학/IT,75,집단상담 전략과 기술(8판),28000,28000,0
도서/음반,인문/사회/과학/IT,76,이상심리학(8판)(반양장),38000,38000,0
도서/음반,인문/사회/과학/IT,77,데이터베이스 개론,26730,26730,0
도서/음반,인문/사회/과학/IT,78,Android Studio를 활용한 안드로이드 프로그래밍  5판,28130,28130,0
도서/음반,인문/사회/과학/IT,79,소크라테스의 변명 [아카넷] [플라톤],11700,11700,0
도서/음반,인문/사회/과학/IT,80,핸즈온 머신러닝 : 사이킷런  케라스  텐서플로 2를 활용한 머신러닝  딥러닝 완벽 실무  오렐리앙 제롱,49500,49500,0
도서/음반,가정/생활/취미/레저,92,빛날희 맛 보장 가정식 레시피 1 2 3 김치 반찬 특강 / 욕쟁이 요리 블로거 요리 책 당근 너무 시러,22500,22500,0
도서/음반,가정/생활/취미/레저,93,에어프라이어 119 레시피 /문성실의 냉장고 요리 /열 반찬 부럽지 않은 한그릇 식사 책,13500,13500,0
